old_url,new_url_TODO,title
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2388/2422,,Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake  | Mo | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2392,,"Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023  | Dugand | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2392/2426,,"Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023  | Dugand | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/about/editorialTeam,,Editorial Team
https://afo.birdlife.org.au/afo/index.php/afo/about/editorialPolicies,,Editorial Policies
https://afo.birdlife.org.au/afo/index.php/afo/login/lostPassword,,Reset Password
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/225,,Vol 43 (2026)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/224,,Vol 42 (2025)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/223,,Vol 41 (2024)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/222,,Vol 40 (2023)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/221,,Vol 39 (2022)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/220,,Vol 38 (2021)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/218,,Vol 37 (2020)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/217,,Vol 36 (2019)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/216,,Vol 35 (2018)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/215,,Vol 34 (2017)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/210,,Vol 33 (2016)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/3,,"Vol 32, No 1 (2015)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/2,,"Vol 32, No 2 (2015)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/61,,"Vol 32, No 3 (2015)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/62,,"Vol 32, No 4 (2015)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/4,,"Vol 31, No 1 (2014)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/5,,"Vol 31, No 2 (2014)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/1,,"Vol 31, No 3 (2014)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/6,,"Vol 31, No 4 (2014)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/97,,Vol 31 (2014)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/7,,"Vol 30, No 1 (2013)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/8,,"Vol 30, No 2 (2013)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/9,,"Vol 30, No 3 (2013)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/11,,"Vol 30, No 4 (2013)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/12,,"Vol 29, No 1 (2012)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/13,,"Vol 29, No 2 (2012)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/14,,"Vol 29, No 3 (2012)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/15,,"Vol 29, No 4 (2012)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/63,,"Vol 28, No 1 (2011)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/64,,"Vol 28, No 2 (2011)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/65,,"Vol 28, No 3 (2011)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/66,,"Vol 28, No 4 (2011)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/214,,"Vol 28, No 4 (2011)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/67,,"Vol 27, No 1 (2010)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/68,,"Vol 27, No 2 (2010)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/69,,"Vol 27, No 3 (2010)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/70,,"Vol 27, No 4 (2010)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/71,,"Vol 26, No 1-2 (2009)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/73,,"Vol 26, No 3 (2009)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/74,,"Vol 26, No 4 (2009)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/83,,"Vol 25, No 1 (2008)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/84,,"Vol 25, No 2 (2008)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/85,,"Vol 25, No 3 (2008)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/86,,"Vol 25, No 4 (2008)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/87,,"Vol 24, No 1 (2007)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/88,,"Vol 24, No 2 (2007)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/89,,"Vol 24, No 3 (2007)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/90,,"Vol 24, No 4 (2007)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/91,,"Vol 23, No 1 (2006)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/93,,"Vol 23, No 2 (2006)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/94,,"Vol 23, No 3 (2006)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/95,,"Vol 23, No 4 (2006)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/16,,"Vol 22, No 1 (2005)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/17,,"Vol 22, No 2 (2005)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/18,,"Vol 22, No 3 (2005)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/19,,"Vol 22, No 4 (2005)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/20,,"Vol 21, No 1 (2004)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/21,,"Vol 21, No 2 (2004)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/22,,"Vol 21, No 3 (2004)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/23,,"Vol 21, No 4 (2004)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/96,,Vol 21 (2004)
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/24,,"Vol 20, No 1 (2003)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/25,,"Vol 20, No 2 (2003)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/26,,"Vol 20, No 3 (2003)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/27,,"Vol 20, No 4 (2003)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/37,,"Vol 19, No 5 (2002)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/38,,"Vol 19, No 6-7 (2002)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/40,,"Vol 19, No 8 (2002)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/28,,"Vol 19, No 1 (2001)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/29,,"Vol 19, No 2 (2001)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/30,,"Vol 19, No 3 (2001)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/31,,"Vol 19, No 4 (2001)"
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/41,,"Vol 18, No 5 (2000)"
